datetime,A Bus Voltage,A Current,Set Voltage,digital intput
2023-05-19 14:24:53.435601,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.454466,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.473652,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.494040,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.518584,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.732036,0.87 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.751889,0.87 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.780262,0.87 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.801874,0.87 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.822165,0.87 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.841272,0.87 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.864196,0.87 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.059626,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.070172,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.086436,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.105136,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.124016,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.143515,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.166780,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.387408,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.403609,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.423348,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.442840,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.465916,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.489829,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.508402,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:54.714966,0.92 V,-0.30 mA,0.50,618.65
