datetime,A Bus Voltage,A Current,Feed voltage in,Recirculation voltage in,Feed voltage set
2023-08-15 18:41:56.468220,0.00 V,23.30 mA,0.00,0.20,-2.80
2023-08-15 18:42:03.512152,0.00 V,25.00 mA,0.00,0.20,-2.80
2023-08-15 18:42:09.556538,0.00 V,52.30 mA,0.00,0.20,-2.80
2023-08-15 18:42:15.600839,0.00 V,47.20 mA,0.00,0.20,-2.80
2023-08-15 18:42:21.645242,0.00 V,38.60 mA,0.00,0.20,-2.80
2023-08-15 18:42:27.689491,0.00 V,26.70 mA,0.00,0.20,-2.80
2023-08-15 18:42:34.732294,0.00 V,30.40 mA,0.00,0.20,-2.80
2023-08-15 18:42:40.771779,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:42:49.770663,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:42:58.769515,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:43:05.768063,0.00 V,26.20 mA,0.50,0.20,618.65
2023-08-15 18:43:14.766732,0.00 V,26.20 mA,0.50,0.20,618.65
2023-08-15 18:43:20.766840,0.00 V,26.20 mA,0.50,0.20,618.65
2023-08-15 18:43:29.764574,0.00 V,26.20 mA,0.50,0.20,618.65
2023-08-15 18:43:36.762225,0.00 V,26.20 mA,0.50,0.20,618.65
2023-08-15 18:43:45.760396,0.00 V,26.20 mA,0.50,0.20,618.65
2023-08-15 18:43:54.758001,0.00 V,26.20 mA,0.50,0.20,618.65
2023-08-15 18:44:03.755577,0.00 V,26.20 mA,0.50,0.20,618.65
2023-08-15 18:44:10.753497,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:44:19.751627,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:44:28.749820,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:44:37.748213,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:44:44.746452,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:44:53.745220,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:44:59.745262,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:45:08.743413,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:45:15.741237,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:45:21.741585,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:45:30.738491,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:45:39.736431,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:45:46.734323,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:45:55.732542,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:46:04.730882,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:46:13.728890,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:46:20.725921,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:46:29.722821,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:46:38.720459,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:46:47.721392,0.00 V,26.20 mA,0.00,0.20,-2.80
2023-08-15 18:46:54.763526,0.00 V,25.70 mA,0.00,0.20,-2.80
2023-08-15 18:47:00.806232,0.00 V,23.40 mA,0.00,0.20,-2.80
2023-08-15 18:47:06.849389,0.00 V,24.10 mA,0.00,0.20,-2.80
2023-08-15 18:47:12.892643,0.97 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:47:18.935906,0.97 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:47:25.978386,0.00 V,60.70 mA,0.00,0.20,-2.80
2023-08-15 18:47:32.017613,0.00 V,32.00 mA,0.00,0.20,-2.80
2023-08-15 18:47:41.015071,0.00 V,32.00 mA,0.00,0.20,-2.80
2023-08-15 18:47:50.012418,0.00 V,32.00 mA,0.00,0.20,-2.80
2023-08-15 18:47:57.036148,3.32 V,33.50 mA,0.00,0.20,-2.80
2023-08-15 18:48:03.079767,1.20 V,61.10 mA,0.00,0.20,-2.80
2023-08-15 18:48:09.123491,0.00 V,60.40 mA,0.00,0.20,-2.80
2023-08-15 18:48:15.166792,0.00 V,42.90 mA,0.00,0.20,-2.80
2023-08-15 18:48:21.209636,0.24 V,52.80 mA,0.00,0.20,-2.80
2023-08-15 18:48:28.252927,32.00 V,60.50 mA,0.00,0.20,-2.80
2023-08-15 18:48:34.296581,1.14 V,61.00 mA,0.00,0.20,-2.80
2023-08-15 18:48:40.339971,1.02 V,60.50 mA,0.00,0.20,-2.80
2023-08-15 18:48:46.383184,1.03 V,60.70 mA,0.00,0.20,-2.80
2023-08-15 18:48:52.426287,1.09 V,60.90 mA,0.00,0.20,-2.80
2023-08-15 18:48:59.444006,1.09 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:49:08.442606,1.09 V,60.80 mA,0.00,0.20,-2.80
